               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068875,             0.05491,                   0,              0.3471,             0.38905,             0.28657,             0.17284,            0.047595,            0.030092,                   0,           0.0033318,           0.0033318,            0.070014
                   1,            0.056136,             0.05541,                   0,             0.32714,             0.38563,               0.273,             0.16911,            0.046343,            0.030173,                   0,           0.0065332,           0.0065332,            0.039882
                   2,            0.055013,            0.055057,                   0,              0.3314,             0.40398,             0.28896,             0.17902,            0.045919,             0.02848,                   0,           0.0096025,           0.0096025,            0.009618
                   3,            0.054458,            0.055436,                   0,             0.34939,             0.42784,             0.30598,             0.19288,            0.044354,            0.029591,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.053516,            0.055143,                   0,             0.35554,              0.4042,             0.30528,              0.1983,            0.043334,             0.02987,                   0,            0.009406,            0.009406,            0.009406
                   5,              0.0528,            0.054489,                   0,             0.33978,             0.42579,             0.30774,             0.20529,            0.042668,            0.031036,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.052484,            0.054476,                   0,             0.34623,             0.43338,             0.31119,             0.20644,             0.04215,             0.03083,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.052098,            0.054257,                   0,             0.34537,             0.43953,             0.32032,             0.21466,            0.041798,            0.030605,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.051873,            0.054427,                   0,             0.38161,             0.40558,              0.3284,             0.22125,            0.041454,              0.0302,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.051626,            0.053941,                   0,             0.36228,              0.4467,              0.3347,             0.22726,            0.041171,            0.029896,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.051589,            0.054096,                   0,             0.36694,             0.43061,             0.33252,             0.22682,            0.041031,            0.030648,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.05128,            0.053517,                   0,             0.37164,             0.43216,             0.33576,             0.22885,            0.040869,            0.030457,                   0,             0.00802,             0.00802,             0.00802
